file,id,status,createdBy,curriculum,stem
drafts/002836d9-933d-4abc-b1fa-cb29392d6d1e.json,002836d9-933d-4abc-b1fa-cb29392d6d1e,draft,ai,Paediatric Sub-specialties,A 6-year-old boy is scheduled for a non-urgent lumbar puncture on the paediatric ward. Which preparation plan best matches the provided notes?
drafts/01143431-c86b-4f22-a42b-8bd33c99c231.json,01143431-c86b-4f22-a42b-8bd33c99c231,draft,manual,Community-based Paediatrics,"Which clinical sign, often found in the axilla, is mentioned as a characteristic indicator of insulin resistance in children with obesity?"
drafts/012290cf-ffdb-4d5e-9243-ad797224a6fb.json,012290cf-ffdb-4d5e-9243-ad797224a6fb,draft,ai,General Paediatrics,Weight and height are already plotted in a child with possible chronic diarrhoea. Which additional parameter from the notes should also be reviewed because it helps separate GI-related loss from other causes?
drafts/01a571cf-651a-4003-a32f-9110260767b6.json,01a571cf-651a-4003-a32f-9110260767b6,draft,ai,General Paediatrics,A child with chronic fatty diarrhoea is thought to have inadequate pancreatic enzyme activity. Which function of normal fat handling is most directly reduced?
drafts/01d58ab6-9e17-4290-a90f-a2c2277b3c10.json,01d58ab6-9e17-4290-a90f-a2c2277b3c10,draft,manual,Community-based Paediatrics,Which of the following is an 'upstream' population health intervention mentioned as a potential way to address the drivers of obesity?
drafts/022a7e09-bd71-41ff-8354-b646993aeba1.json,022a7e09-bd71-41ff-8354-b646993aeba1,draft,manual,Paediatric Sub-specialties,"Since $2008$, which medication has become the first-line treatment for problematic infantile hemangiomas?"
drafts/025c1e1c-ea53-4597-a3ea-da7dedc7e334.json,025c1e1c-ea53-4597-a3ea-da7dedc7e334,draft,ai,Paediatric Sub-specialties,Which mechanism best explains the excessive adrenal androgen production described in congenital adrenal hyperplasia in the source pack?
drafts/0287409f-ff05-42b5-a2c6-437c74fb599e.json,0287409f-ff05-42b5-a2c6-437c74fb599e,draft,manual,Emergency Paediatrics,What is the clinical definition of chronic pain in the pediatric population as mentioned in the material?
drafts/02b2b1db-2a66-4ade-8449-0d06c6e5866c.json,02b2b1db-2a66-4ade-8449-0d06c6e5866c,draft,ai,Adolescent Medicine,A 17-year-old has long managed routine day-to-day decisions for a chronic condition. The team is now discussing a much more serious elective intervention with major long-term consequences. Why should the clinician assess decision-making capacity especially carefully in this situation?
drafts/02dec00d-a42d-477a-9c4e-8015a270b289.json,02dec00d-a42d-477a-9c4e-8015a270b289,draft,manual,Paediatric Sub-specialties,Which bacterial species is identified as being responsible for essentially all intracranial complications of acute otitis media?
drafts/0321bea3-e1a9-4d11-a756-c838236f196a.json,0321bea3-e1a9-4d11-a756-c838236f196a,draft,manual,Adolescent Medicine,"When supporting parents within the health system, what approach does the speaker recommend for improving parenting skills?"
drafts/03364d35-fd01-4786-b876-7539985c56fa.json,03364d35-fd01-4786-b876-7539985c56fa,draft,manual,Emergency Paediatrics,Which of the following is a relative contraindication for using non-steroidal anti-inflammatory drugs (NSAIDs) in children?
drafts/03ba972b-878b-4b40-9284-cb46131be5e9.json,03ba972b-878b-4b40-9284-cb46131be5e9,draft,ai,General Paediatrics,A GP is reviewing weight status in a 5-year-old. Which is the standard tool from the notes for assessing unhealthy weight in children older than 2 years?
drafts/03c66510-8c1e-4a97-b8e4-d75ccb2c9d5b.json,03c66510-8c1e-4a97-b8e4-d75ccb2c9d5b,draft,ai,General Paediatrics,"During follow-up of a child initially thought to have chronic GI loss, which finding should push you to reconsider a simple decreased-loss explanation?"
drafts/03de1de9-ac87-4bf1-82e0-4ea353aa1598.json,03de1de9-ac87-4bf1-82e0-4ea353aa1598,draft,ai,Paediatric Sub-specialties,A 9-year-old boy presents with cola-coloured urine and periorbital oedema after a recent sore throat. His blood pressure is mildly elevated. You are considering a vasculitic cause for nephritis rather than assuming post-streptococcal glomerulonephritis alone. Which additional history point would most strongly support broadening the differential toward IgA vasculitis nephritis?
