file,id,status,is_cah_kat,answerable,correct_option_count,reason,curriculum
questions/000c6a67-14b7-4045-82cb-6d0fcf875ac7.json,000c6a67-14b7-4045-82cb-6d0fcf875ac7,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/0042655d-4b73-483a-a517-2f466e69a325.json,0042655d-4b73-483a-a517-2f466e69a325,published,false,false,0,No option has isCorrect=true,Unclassified
questions/00502547-fcba-4c75-9dca-6ad2ddc94d72.json,00502547-fcba-4c75-9dca-6ad2ddc94d72,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/006dd8de-11a8-4ce9-a749-97ae18d1fcf4.json,006dd8de-11a8-4ce9-a749-97ae18d1fcf4,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/0179c444-f7c0-40cc-a77d-aef0013c5daf.json,0179c444-f7c0-40cc-a77d-aef0013c5daf,published,true,false,0,No option has isCorrect=true,Emergency Paediatrics
questions/0194fe90-c8be-4d07-ba60-b048a19dd69f.json,0194fe90-c8be-4d07-ba60-b048a19dd69f,published,true,true,1,Answerable (exactly one correct option),Emergency Paediatrics
questions/01966d29-333c-452d-92cb-9d2246e470fc.json,01966d29-333c-452d-92cb-9d2246e470fc,published,false,true,1,Answerable (exactly one correct option),Unclassified
questions/0197b071-a452-4b69-8731-6141664bccba.json,0197b071-a452-4b69-8731-6141664bccba,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/022ab903-5e19-4f32-bf0c-3cfb7f829d4c.json,022ab903-5e19-4f32-bf0c-3cfb7f829d4c,published,true,true,1,Answerable (exactly one correct option),Community-based Paediatrics
questions/025a99f4-5a36-49e3-8cb5-9e3be0558713.json,025a99f4-5a36-49e3-8cb5-9e3be0558713,published,true,true,1,Answerable (exactly one correct option),Community-based Paediatrics
questions/027128a9-85e6-4953-9ddb-66fd11bc5e43.json,027128a9-85e6-4953-9ddb-66fd11bc5e43,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/02791e78-3629-4587-9a59-5a940b03417c.json,02791e78-3629-4587-9a59-5a940b03417c,published,true,true,1,Answerable (exactly one correct option),Community-based Paediatrics
