sequence,id,sourcePath,stem,curriculum,optionCount,correctOptionCount,missingExplanation,missingCitations,missingTags,unclassified
1,10db2a36-2108-4c78-9433-297e02825e10,questions/10db2a36-2108-4c78-9433-297e02825e10.json,"Kid had been in trauma, resp distress, abdo pain, deformed right arm. You are asked to call radiology and organise ‘trauma series’ – what do you order?",Emergency Paediatrics,3,0,true,true,false,false
2,1174c60b-0fd2-4bec-a124-fbef3c6312a1,questions/1174c60b-0fd2-4bec-a124-fbef3c6312a1.json,Asthma drugs,Unclassified,8,0,true,true,true,true
3,11c1c91f-c752-41a7-a943-4fe3971478c8,questions/11c1c91f-c752-41a7-a943-4fe3971478c8.json,"Kid in a car crash- lots of trauma, brought in by ambulance to ED with a GCS of 7. Some tachy &amp; hypotension? Best management? (had no idea for this one???)- some options included get IV access",Emergency Paediatrics,5,0,true,true,false,false
4,17e3b467-8159-45c9-b95f-704ca77c049b,questions/17e3b467-8159-45c9-b95f-704ca77c049b.json,Hearing/autism,Unclassified,8,0,true,true,true,true
5,1870d4cd-eeb5-4694-8f5b-1877e6f749d3,questions/1870d4cd-eeb5-4694-8f5b-1877e6f749d3.json,answers:,Unclassified,5,0,true,true,true,true
6,18c82304-8215-4b37-93e0-021bbb1dc647,questions/18c82304-8215-4b37-93e0-021bbb1dc647.json,Respiratory,Emergency Paediatrics,6,0,true,true,false,false
7,18e95833-476e-4a08-9249-e993a5374ed1,questions/18e95833-476e-4a08-9249-e993a5374ed1.json,Vaccination,Unclassified,8,0,true,true,true,true
8,18f403fb-d277-48e5-a9e9-f31eeb6e8bf8,questions/18f403fb-d277-48e5-a9e9-f31eeb6e8bf8.json,"CHECK QUESTION Baby, just had rice cereal and an apple. Now presents to ED 2 hours later with profuse vomiting and diarrhoea and metabolic acidosis…",Unclassified,3,0,true,true,true,true
9,19388ca6-afea-4604-bfc2-0d7c0f6f04b8,questions/19388ca6-afea-4604-bfc2-0d7c0f6f04b8.json,Risk reduction from 19% to 13%.,Unclassified,3,0,true,true,true,true
10,19397ebe-b9eb-49ed-ba72-d5ab0ae74515,questions/19397ebe-b9eb-49ed-ba72-d5ab0ae74515.json,"Interpret LP results – high protein, low glucose, RBCs seen",Emergency Paediatrics,5,0,true,true,false,false
11,1ac979cc-8f62-40e5-8ac1-43df305c3b76,questions/1ac979cc-8f62-40e5-8ac1-43df305c3b76.json,Developmental delay,Unclassified,3,0,true,true,true,true
12,1bf75886-0c7c-42d8-8a26-9b00542b3ff3,questions/1bf75886-0c7c-42d8-8a26-9b00542b3ff3.json,1 year old was in hospital for some gastroenteritis or something. He was treated with fluids and supportive care. He then returned a few days later with non-febrile vomiting and now has tachycardia. What is appropriate rehydration or fluid management?,General Paediatrics,5,0,true,true,false,false
13,1c0a7504-2fdd-4e8b-9e3b-460938861be8,questions/1c0a7504-2fdd-4e8b-9e3b-460938861be8.json,"Kid with bowel symptoms, low total IgA, low TTG IgA levels, bowel biopsy showed villous atrophy – what is it?",Paediatric Sub-specialties,3,0,true,true,false,false
14,1f241386-ed53-4c1e-a401-f0943c00944a,questions/1f241386-ed53-4c1e-a401-f0943c00944a.json,Compensation for anemia,Unclassified,5,0,true,true,true,true
15,22e461fb-887a-4b67-9173-d3e3bf77802e,questions/22e461fb-887a-4b67-9173-d3e3bf77802e.json,"Calculate resus fluid requirements for 20kg boy who’s 5% dehydrated. Gave formula for bolus, resus and maintenance fluids. Had to calculate hourly rate",Emergency Paediatrics,3,0,true,true,false,false
16,2489d11f-fbc0-488c-819b-49121337e356,questions/2489d11f-fbc0-488c-819b-49121337e356.json,"Kid with constipation, non-bilious vomiting, has swallowed magnets – best management",Unclassified,4,0,true,true,true,true
17,24cb87fa-29f1-42a0-bf1a-2be57a1f24aa,questions/24cb87fa-29f1-42a0-bf1a-2be57a1f24aa.json,How many hours sleep per night does a 16 year old need?,Unclassified,5,0,true,true,true,true
18,25f4a973-f45b-41dc-873f-64ce02a14764,questions/25f4a973-f45b-41dc-873f-64ce02a14764.json,"You are riding a bike in a park, and you see a body floating in the water. You run down and pull a boy out of the water and being CPR. What is the compression to breath ratio you use?",Unclassified,5,0,true,true,true,true
19,28996322-0d43-435d-ac92-8090cabd5a50,questions/28996322-0d43-435d-ac92-8090cabd5a50.json,2 pictures: gram neg urine sample (A) and gram positive diplococcic from csf (B),Unclassified,5,0,true,true,true,true
20,2a291876-23aa-4223-8767-9f9e5d6b0935,questions/2a291876-23aa-4223-8767-9f9e5d6b0935.json,Respiratory paeds,Emergency Paediatrics,8,0,true,true,false,false
21,2c95b1a5-852c-42f1-8d22-a696dabf17e3,questions/2c95b1a5-852c-42f1-8d22-a696dabf17e3.json,Vomiting in the young infant,Paediatric Surgery,9,0,true,true,false,false
22,2d56cfba-8d4b-422e-9380-4507ee4a4213,questions/2d56cfba-8d4b-422e-9380-4507ee4a4213.json,Fluids,Emergency Paediatrics,7,0,true,true,false,false
23,2e582187-d8bc-4e18-bd8f-5e1f3c2acaa6,questions/2e582187-d8bc-4e18-bd8f-5e1f3c2acaa6.json,1 year RCT of Abs for prophylaxis of UTIs. Results were:,Unclassified,2,0,true,true,true,true
24,2e7f7d82-0526-41f6-8c65-fad46a0b4489,questions/2e7f7d82-0526-41f6-8c65-fad46a0b4489.json,answers: most likely initial complication,Unclassified,5,0,true,true,true,true
25,2fab40c0-2a49-4d77-9f5c-d347a6c953e4,questions/2fab40c0-2a49-4d77-9f5c-d347a6c953e4.json,Hospitalisations,Unclassified,6,0,true,true,true,true
26,325cbd03-9e2f-4113-b498-1e2ad291b0e7,questions/325cbd03-9e2f-4113-b498-1e2ad291b0e7.json,How many items are in the AGREEII appraisal guidelines,Unclassified,5,0,true,true,true,true
27,33d0b364-ac4f-4932-ba41-05e71626a3f7,questions/33d0b364-ac4f-4932-ba41-05e71626a3f7.json,Question was either... what’s the percentage who test positive for the disease who actually have the disease (PPV)? OR was what’s the probability that the pt will have a +ve test result if they have the disease (sensitivity)?,Unclassified,3,0,true,true,true,true
28,37ed728a-effa-437b-91b3-c86b3ddee08f,questions/37ed728a-effa-437b-91b3-c86b3ddee08f.json,Which pattern of injury is most suspcious for child abuse,Unclassified,5,0,true,true,true,true
29,3908838a-83e0-42e7-b51e-6bb4a05fc173,questions/3908838a-83e0-42e7-b51e-6bb4a05fc173.json,Kid exposed to varicella yesterday and not immunised – best treatment,General Paediatrics,4,0,true,true,false,false
30,39ba1032-7c97-4bb7-8725-03091942bef8,questions/39ba1032-7c97-4bb7-8725-03091942bef8.json,Compensation for anemia,Unclassified,5,0,true,true,true,true
31,3a932ebf-2917-4161-b4eb-628e0e46194d,questions/3a932ebf-2917-4161-b4eb-628e0e46194d.json,"In 2001-2004, what were the most common causes of hospital admissions for 12-24 year olds:",Unclassified,9,0,true,true,true,true
32,3ace41b5-429f-41a0-bc50-2f66db2b66b1,questions/3ace41b5-429f-41a0-bc50-2f66db2b66b1.json,Vomiting question:,Unclassified,6,0,true,true,true,true
33,3b08fcf3-6bfc-4d04-896f-ea58635fc713,questions/3b08fcf3-6bfc-4d04-896f-ea58635fc713.json,Hip pain,Paediatric Surgery,6,0,true,true,false,false
34,3f13dee8-eeab-40de-9ed7-f7e62c7912b5,questions/3f13dee8-eeab-40de-9ed7-f7e62c7912b5.json,Hospitalisations,Unclassified,6,0,true,true,true,true
35,3f8c5319-cb3e-4d5c-adc3-5c7e627ebfbb,questions/3f8c5319-cb3e-4d5c-adc3-5c7e627ebfbb.json,Testicles,Paediatric Surgery,6,0,true,true,false,false
36,3ff0fc9d-ae63-4a62-a035-df0e9b852dee,questions/3ff0fc9d-ae63-4a62-a035-df0e9b852dee.json,Fluids,Unclassified,7,0,true,true,true,true
37,43aa6508-9522-4ab9-950f-42df435ea560,questions/43aa6508-9522-4ab9-950f-42df435ea560.json,A kid rapidly gained weight. Which is the best measure to check growth trajectory.,Unclassified,4,0,true,true,true,true
38,446e95e8-b9ad-4139-b844-536a4d893d31,questions/446e95e8-b9ad-4139-b844-536a4d893d31.json,Which of the following are most likely predictors of anorexia nervosa?,Adolescent Medicine,2,0,true,true,false,false
39,45a11e2b-b486-4a7d-89fc-e0cb1f843f89,questions/45a11e2b-b486-4a7d-89fc-e0cb1f843f89.json,Fluids,Emergency Paediatrics,7,0,true,true,false,false
40,4670bfaa-16a3-4a65-8b93-2f7a927a39b5,questions/4670bfaa-16a3-4a65-8b93-2f7a927a39b5.json,"10 year old girl in an MVA, bruising across lower abdomen. Maintaining sats, BP slightly low but still pretty well . Diffuse abdominal pain. What intra-abdominal organ is most likely to be perforated:",Unclassified,5,0,true,true,true,true
41,48d9d22b-b329-449f-996d-cc1c9dbdfc6c,questions/48d9d22b-b329-449f-996d-cc1c9dbdfc6c.json,Respiratory paeds,Emergency Paediatrics,8,0,true,true,false,false
42,49532168-4b3a-4912-aec7-abdfbba44f7c,questions/49532168-4b3a-4912-aec7-abdfbba44f7c.json,"In 2001-2004, what were the most common causes of hospital admissions for 12-24 year olds:",Unclassified,9,0,true,true,true,true
43,497b8d18-001a-4151-9d0d-d4990d7e0751,questions/497b8d18-001a-4151-9d0d-d4990d7e0751.json,A 2 week old presents with profuse vomiting. What would a VBG show?,Unclassified,5,0,true,true,true,true
44,4a12f85d-1371-432d-93fd-6bf745d76603,questions/4a12f85d-1371-432d-93fd-6bf745d76603.json,"13 y.o. Aboriginal girl has respiratory illness not responding to amoxicillin, CXR shows diffuse RML and RLL opacification, pneumatocele – most likely organism?",Community-based Paediatrics,4,0,true,true,false,false
45,4b96a493-84b3-48dc-9a01-cfbf9dd89851,questions/4b96a493-84b3-48dc-9a01-cfbf9dd89851.json,"Kid with vomiting, mum has been giving oral rehydration fluids at 50-100mL/hour. Now hypernatremic, high urea, high creatinine – cause?",Unclassified,4,0,true,true,true,true
